"Account Number","Account Description"
"6149904","Business Meeting"
"6125022","Business Training"
"6149931","Catering Expense "
"6113013","Consumer Program"
"6149911","Donation"
"6149933","Electricity"
"6125013","Employee Garthering "
"6149903","Entertainment"
"6149919","Factory Spare Part"
"6149918","Factory Supplies"
"6113014","Gimmick"
"6125001","Meal Allowance "
"6149909","Medical Books"
"6125014","Medical Reimbursment "
"6149910","Membership "
"6125003","Mobile Allowance "
"6149908","Newspaper and Magazine"
"6149916","Office Supplies"
"6125016","Other Benefit "
"6149907","Other Business Meeting"
"6125031","Other Employment Cost"
"6149906","Other Meeting"
"6149932","Other Non Professional Services"
"6149917","Other Office Supplies"
"6149924","Permit Licence"
"6149925","Permit Licence - Personnel BIK"
"6149915","Photocopy"
"6141105","Postage and Courier "
"1179001","Prepaid Tax - PPh 22"
"1179002","Prepaid Tax - PPh 23"
"1179004","Prepaid Tax - VAT Input"
"6149922","Professional Fee"
"6149920","QC Chemical"
"6125030","Recruitment Expense"
"6125029","Relocation Expense"
"6149912","Repairs and Maintenance - Factory"
"6149913","Repairs and Maintenance - Office Others"
"6149905","Sales Meeting "
"6149914","Stationery "
"6113001","Symposium/Meeting"
"6121007","Tax Other - BIK"
"6141106","Telephone "
"6125023","Training & Education"
"6125002","Transport Allowance"
"6141101","Travel Airfare"
"6141104","Travel Others"
"6141102","Travel Transport "
"6141103","Travel Trip Meals "
"6149901","Vehicle Expense "
"6149902","Vehicle Expense Other"
